Data;1 - u.m.c./US$;% Dia;% Acum.;3 - u.m.c./US$;% Ágio
04/01/2016;4,0387;3,43;3,43;-;-
05/01/2016;4,0114;-0,68;2,73;-;-
06/01/2016;4,0303;0,47;3,21;-;-
07/01/2016;4,0475;0,43;3,65;-;-
08/01/2016;4,0250;-0,56;3,08;-;-
11/01/2016;4,0153;-0,24;2,83;-;-
12/01/2016;4,0299;0,36;3,20;-;-
13/01/2016;3,9863;-1,08;2,09;-;-
14/01/2016;4,0223;0,90;3,01;-;-
15/01/2016;4,0402;0,44;3,47;-;-
18/01/2016;4,0364;-0,09;3,37;-;-
19/01/2016;4,0303;-0,15;3,21;-;-
20/01/2016;4,0861;1,38;4,64;-;-
21/01/2016;4,1558;1,71;6,43;-;-
22/01/2016;4,1232;-0,78;5,59;-;-
25/01/2016;4,1002;-0,56;5,00;-;-
26/01/2016;4,0967;-0,09;4,91;-;-
27/01/2016;4,0448;-1,27;3,59;-;-
28/01/2016;4,0838;0,96;4,58;-;-
29/01/2016;4,0428;-1,00;3,53;-;-
01/02/2016;3,9986;-1,09;2,40;-;-
02/02/2016;3,9919;-0,17;2,23;-;-
03/02/2016;3,9558;-0,90;1,31;-;-
04/02/2016;3,8653;-2,29;-1,01;-;-
05/02/2016;3,8975;0,83;-0,19;-;-
10/02/2016;3,9412;1,12;0,93;-;-
11/02/2016;3,9642;0,58;1,52;-;-
12/02/2016;3,9891;0,63;2,16;-;-
15/02/2016;3,9885;-0,02;2,14;-;-
16/02/2016;4,0213;0,82;2,98;-;-
17/02/2016;4,0318;0,26;3,25;-;-
18/02/2016;4,0091;-0,56;2,67;-;-
19/02/2016;4,0492;1,00;3,70;-;-
22/02/2016;3,9618;-2,16;1,46;-;-
23/02/2016;3,9684;0,17;1,63;-;-
24/02/2016;3,9900;0,54;2,18;-;-
25/02/2016;3,9400;-1,25;0,90;-;-
26/02/2016;3,9578;0,45;1,36;-;-
29/02/2016;3,9796;0,55;1,92;-;-
01/03/2016;3,9913;0,29;2,22;-;-
02/03/2016;3,9116;-2,00;0,17;-;-
03/03/2016;3,8504;-1,56;-1,39;-;-
04/03/2016;3,7188;-3,42;-4,76;-;-
07/03/2016;3,7714;1,41;-3,42;-;-
08/03/2016;3,7813;0,26;-3,16;-;-
09/03/2016;3,7037;-2,05;-5,15;-;-
10/03/2016;3,6700;-0,91;-6,01;-;-
11/03/2016;3,6271;-1,17;-7,11;-;-
14/03/2016;3,6239;-0,09;-7,19;-;-
15/03/2016;3,7116;2,42;-4,95;-;-
16/03/2016;3,8079;2,59;-2,48;-;-
17/03/2016;3,6445;-4,29;-6,67;-;-
18/03/2016;3,6146;-0,82;-7,43;-;-
21/03/2016;3,6229;0,23;-7,22;-;-
22/03/2016;3,6073;-0,43;-7,62;-;-
23/03/2016;3,6531;1,27;-6,45;-;-
24/03/2016;3,6948;1,14;-5,38;-;-
28/03/2016;3,6408;-1,46;-6,76;-;-
29/03/2016;3,6687;0,77;-6,05;-;-
30/03/2016;3,6116;-1,56;-7,51;-;-
31/03/2016;3,5589;-1,46;-8,86;-;-
01/04/2016;3,5799;0,59;-8,32;-;-
04/04/2016;3,5871;0,20;-8,14;-;-
05/04/2016;3,6581;1,98;-6,32;-;-
06/04/2016;3,6749;0,46;-5,89;-;-
07/04/2016;3,6921;0,47;-5,45;-;-
08/04/2016;3,6385;-1,45;-6,82;-;-
11/04/2016;3,5284;-3,03;-9,64;-;-
12/04/2016;3,5406;0,35;-9,33;-;-
13/04/2016;3,5429;0,06;-9,27;-;-
14/04/2016;3,5126;-0,86;-10,04;-;-
15/04/2016;3,5276;0,43;-9,66;-;-
18/04/2016;3,5904;1,78;-8,05;-;-
19/04/2016;3,5538;-1,02;-8,99;-;-
20/04/2016;3,5503;-0,10;-9,08;-;-
22/04/2016;3,5829;0,92;-8,24;-;-
25/04/2016;3,5472;-1,00;-9,16;-;-
26/04/2016;3,5301;-0,48;-9,60;-;-
27/04/2016;3,5295;-0,02;-9,61;-;-
28/04/2016;3,4992;-0,86;-10,39;-;-
29/04/2016;3,4508;-1,38;-11,63;-;-
02/05/2016;3,4991;1,40;-10,39;-;-
03/05/2016;3,5550;1,60;-8,96;-;-
04/05/2016;3,5397;-0,43;-9,35;-;-
05/05/2016;3,5296;-0,29;-9,61;-;-
06/05/2016;3,5362;0,19;-9,44;-;-
09/05/2016;3,5387;0,07;-9,38;-;-
10/05/2016;3,4772;-1,74;-10,95;-;-
11/05/2016;3,4645;-0,37;-11,28;-;-
12/05/2016;3,4877;0,67;-10,68;-;-
13/05/2016;3,5041;0,47;-10,26;-;-
16/05/2016;3,5035;-0,02;-10,28;-;-
17/05/2016;3,5037;0,01;-10,27;-;-
18/05/2016;3,5368;0,94;-9,42;-;-
19/05/2016;3,6003;1,80;-7,80;-;-
20/05/2016;3,5419;-1,62;-9,29;-;-
23/05/2016;3,5660;0,68;-8,68;-;-
24/05/2016;3,5491;-0,47;-9,11;-;-
25/05/2016;3,5804;0,88;-8,31;-;-
27/05/2016;3,6168;1,02;-7,38;-;-
30/05/2016;3,5997;-0,47;-7,81;-;-
31/05/2016;3,5951;-0,13;-7,93;-;-
01/06/2016;3,6126;0,49;-7,48;-;-
02/06/2016;3,5961;-0,46;-7,91;-;-
03/06/2016;3,5409;-1,54;-9,32;-;-
06/06/2016;3,5098;-0,88;-10,12;-;-
07/06/2016;3,4745;-1,01;-11,02;-;-
08/06/2016;3,3898;-2,44;-13,19;-;-
09/06/2016;3,3817;-0,24;-13,40;-;-
10/06/2016;3,4261;1,31;-12,26;-;-
13/06/2016;3,4533;0,79;-11,56;-;-
14/06/2016;3,4839;0,89;-10,78;-;-
15/06/2016;3,4768;-0,20;-10,96;-;-
16/06/2016;3,4904;0,39;-10,61;-;-
17/06/2016;3,4372;-1,52;-11,98;-;-
20/06/2016;3,3835;-1,56;-13,35;-;-
21/06/2016;3,3897;0,18;-13,19;-;-
22/06/2016;3,3883;-0,04;-13,23;-;-
23/06/2016;3,3533;-1,03;-14,12;-;-
24/06/2016;3,3772;0,71;-13,51;-;-
27/06/2016;3,3934;0,48;-13,10;-;-
28/06/2016;3,3267;-1,97;-14,80;-;-
29/06/2016;3,2435;-2,50;-16,94;-;-
30/06/2016;3,2098;-1,04;-17,80;-;-
01/07/2016;3,2298;0,62;-17,29;-;-
04/07/2016;3,2480;0,56;-16,82;-;-
05/07/2016;3,2904;1,31;-15,73;-;-
06/07/2016;3,3242;1,03;-14,87;-;-
